,game,model,experiment,episode,metric,value
0,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_0,Request Count,6.0
1,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_0,Parsed Request Count,6.0
2,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_0,Violated Request Count,0.0
3,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_0,Request Success Ratio,1.0
4,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_0,Aborted,0.0
5,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_0,Lose,1.0
6,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_0,Success,0.0
7,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_0,Main Score,0.0
8,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_0,Sum of Points,0.0
9,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_0,Pareto Optimal,0.0
10,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_1,Request Count,9.0
11,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_1,Parsed Request Count,9.0
12,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_1,Violated Request Count,0.0
13,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_1,Request Success Ratio,1.0
14,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_1,Aborted,0.0
15,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_1,Lose,1.0
16,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_1,Success,0.0
17,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_1,Main Score,0.0
18,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_1,Sum of Points,0.0
19,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_1,Pareto Optimal,0.0
20,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_2,Request Count,7.0
21,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_2,Parsed Request Count,7.0
22,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_2,Violated Request Count,0.0
23,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_2,Request Success Ratio,1.0
24,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_2,Aborted,0.0
25,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_2,Lose,1.0
26,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_2,Success,0.0
27,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_2,Main Score,0.0
28,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_2,Sum of Points,0.0
29,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_2,Pareto Optimal,0.0
30,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_3,Request Count,6.0
31,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_3,Parsed Request Count,6.0
32,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_3,Violated Request Count,0.0
33,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_3,Request Success Ratio,1.0
34,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_3,Aborted,0.0
35,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_3,Lose,1.0
36,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_3,Success,0.0
37,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_3,Main Score,0.0
38,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_3,Sum of Points,0.0
39,dond,gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,0_coop_en,episode_3,Pareto Optimal,0.0
